2022-12-18 16:21:47,276 INFO    MainThread:15427 [wandb_setup.py:_flush():68] Configure stats pid to 15427
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_setup.py:_flush():68] Loading settings from /home/peppe/.config/wandb/settings
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_setup.py:_flush():68] Loading settings from /home/peppe/Desktop/Università/Projects/RL_Project-Generalising_game_environments_with_curiosity-driven_agents/wandb/settings
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_init.py:_log_setup():476] Logging user logs to /home/peppe/Desktop/Università/Projects/RL_Project-Generalising_game_environments_with_curiosity-driven_agents/wandb/run-20221218_162147-1iyojv2q/logs/debug.log
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_init.py:_log_setup():477] Logging internal logs to /home/peppe/Desktop/Università/Projects/RL_Project-Generalising_game_environments_with_curiosity-driven_agents/wandb/run-20221218_162147-1iyojv2q/logs/debug-internal.log
2022-12-18 16:21:47,277 INFO    MainThread:15427 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f98d4317b80>
2022-12-18 16:21:47,278 INFO    MainThread:15427 [wandb_init.py:init():516] calling init triggers
2022-12-18 16:21:47,278 INFO    MainThread:15427 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'n_frames': 6, 'epochs': 10, 'batch_size': 32, 'rollout_steps': 128, 'episodes': 2000, 'actors': 8}
2022-12-18 16:21:47,278 INFO    MainThread:15427 [wandb_init.py:init():569] starting backend
2022-12-18 16:21:47,278 INFO    MainThread:15427 [wandb_init.py:init():573] setting up manager
2022-12-18 16:21:47,282 INFO    MainThread:15427 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-18 16:21:47,285 INFO    MainThread:15427 [wandb_init.py:init():580] backend started and connected
2022-12-18 16:21:47,296 INFO    MainThread:15427 [wandb_run.py:_label_probe_notebook():1116] probe notebook
2022-12-18 16:21:47,297 INFO    MainThread:15427 [wandb_run.py:_label_probe_notebook():1126] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-12-18 16:21:47,297 INFO    MainThread:15427 [wandb_init.py:init():658] updated telemetry
2022-12-18 16:21:47,301 INFO    MainThread:15427 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-18 16:21:47,722 INFO    MainThread:15427 [wandb_run.py:_on_init():2006] communicating current version
2022-12-18 16:21:47,822 INFO    MainThread:15427 [wandb_run.py:_on_init():2010] got version response 
2022-12-18 16:21:47,822 INFO    MainThread:15427 [wandb_init.py:init():728] starting run threads in backend
2022-12-18 16:21:50,163 INFO    MainThread:15427 [wandb_run.py:_console_start():1986] atexit reg
2022-12-18 16:21:50,163 INFO    MainThread:15427 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-18 16:21:50,163 INFO    MainThread:15427 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-18 16:21:50,163 INFO    MainThread:15427 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-18 16:21:50,163 INFO    MainThread:15427 [wandb_init.py:init():765] run started, returning control to user process
2022-12-18 16:21:58,100 INFO    MainThread:15427 [wandb_init.py:_pause_backend():389] pausing backend
2022-12-18 16:21:58,100 INFO    MainThread:15427 [jupyter.py:save_ipynb():378] not saving jupyter notebook
